ItemCode,UOM,IBMS ItemName,ItemType,Section,Name,Secoundry Pack Selling Net Rate to Retailers Including Tax - Round 
FG000082,M-SPOOL,MIG-1.2-15KG-L-DIN-300,AWR-WMRK-PL-D-003,MIG Wire-ER70S-6,1.20 MM L-15 KG SPOOL-DIN-300,1800
FG000669,M-SPOOL,MIG-1.60-15KG-L-DIN-300,AWR-WMRK-PL-D-003,MIG Wire-ER70S-6,1.60 MM L-15 KG SPOOL-DIN-300,1800
FG000462,W-TUBE,MS 2.00X1000-25KG-HFR,AWR-WMRK-PL-D-004,MS Filler wire,MS FILLER WIRE 2.00 X 1000 MM-25 KG,2225
FG000484,W-TUBE,MS 2.00X1315-25KG-HFR,AWR-WMRK-PL-D-004,MS Filler wire,MS FILLER WIRE 2.00 X 1315 MM-25 KG,2225
FG000485,W-TUBE,MS 2.00X1320-25KG-HFR,AWR-WMRK-PL-D-004,MS Filler wire,MS FILLER WIRE 2.00 X 1320 MM-25 KG,2225
FG000098,W-TUBE,MS 2.50X1000-25KG,AWR-WMRK-PL-D-004,MS Filler wire,MS FILLER WIRE 2.50 X 1000 MM-25 KG,2225
FG000099,W-TUBE,MS 3.15X1000-25KG,AWR-WMRK-PL-D-004,MS Filler wire,MS FILLER WIRE 3.15 X 1000 MM-25 KG,2225
FG000100,W-TUBE,MS 4.00X1000-25KG,AWR-WMRK-PL-D-004,MS Filler wire,MS FILLER WIRE 4.00 X 1000 MM-25 KG,2225
FG000613,TP-BOX,PR-EP-SB-0.5LTR-BK-SP,AWR-TPMRK-PL-D-004,Epoxy Primer-Black,EP-SB-BL-0.5 LTR,1320
FG000564,TP-BOX,PR-EP-SB-0.5LTR-GY-SP,AWR-TPMRK-PL-D-003,Epoxy Primer-Grey,EP-SB-GY-0.5 LTR,1552
FG000611,TP-BOX,PR-EP-SB-1LTR-BK-SP,AWR-TPMRK-PL-D-004,Epoxy Primer-Black,EP-SB-BL-1.0 LTR,1818
FG000544,TP-BOX,PR-EP-SB-1LTR-GY-SP,AWR-TPMRK-PL-D-003,Epoxy Primer-Grey,EP-SB-GY-1.0 LTR,2160
FG000629,TP-BOX,PR-EP-SB-20LTR-BK-SP,AWR-TPMRK-PL-D-004,Epoxy Primer-Black,EP-SB-BL-20.0 LTR,5100
FG000561,TP-BOX,PR-EP-SB-20LTR-GY-SP,AWR-TPMRK-PL-D-003,Epoxy Primer-Grey,EP-SB-GY-20.0 LTR,6250
FG000621,TP-BOX,PR-EP-SB-4LTR-BK-SP,AWR-TPMRK-PL-D-004,Epoxy Primer-Black,EP-SB-BL-4.0 LTR,4460
FG000570,TP-BOX,PR-EP-SB-4LTR-GY-SP,AWR-TPMRK-PL-D-003,Epoxy Primer-Grey,EP-SB-GY-4.0 LTR,5400
FG000622,TP-BOX,PR-RO-CC-0.5LTR,AWR-TPMRK-PL-D-006,Red Oxide Primer-CLASSY COATS,RO-CC-0.5 LTR,608
FG000589,TP-BOX,PR-RO-CC-1LTR,AWR-TPMRK-PL-D-006,Red Oxide Primer-CLASSY COATS,RO-CC-1.0 LTR,1416
FG000584,TP-BOX,PR-RO-CC-20LTR,AWR-TPMRK-PL-D-006,Red Oxide Primer-CLASSY COATS,RO-CC-20.0 LTR,3200
FG000590,TP-BOX,PR-RO-CC-4LTR,AWR-TPMRK-PL-D-006,Red Oxide Primer-CLASSY COATS,RO-CC-4.0 LTR,1680
FG000626,TP-BOX,PR-ZC-CC-0.5LTR,AWR-TPMRK-PL-D-005,Zinc Chromate Primer-CLASSY COATS,ZC-CC-0.5 LTR,888
FG000594,TP-BOX,PR-ZC-CC-1LTR,AWR-TPMRK-PL-D-005,Zinc Chromate Primer-CLASSY COATS,ZC-CC-1.0 LTR,2256
FG000593,TP-BOX,PR-ZC-CC-20LTR,AWR-TPMRK-PL-D-005,Zinc Chromate Primer-CLASSY COATS,ZC-CC-20.0 LTR,3180
